70,Tibetan,0F00-0FFF,"    Tibetan,"
71,Syriac,0700-074F,"    Syriac,"
72,Thaana,0780-07BF,"    Thaana,"
73,Sinhala,0D80-0DFF,"    Sinhala,"
74,Myanmar,1000-109F,"    Myanmar,"
75,Ethiopic,1200-137F,"    Ethiopic,"
,Ethiopic Supplement,1380-139F,
,Ethiopic Extended,2D80-2DDF,
76,Cherokee,13A0-13FF,"    Cherokee,"
77,Unified Canadian Aboriginal Syllabics,1400-167F,"    UnifiedCanadianAboriginalSyllabics,"
78,Ogham,1680-169F,"    Ogham,"
79,Runic,16A0-16FF,"    Runic,"
80,Khmer,1780-17FF,"    Khmer,"
,Khmer Symbols,19E0-19FF,
81,Mongolian,1800-18AF,"    Mongolian,"
82,Braille Patterns,2800-28FF,"    BraillePatterns,"
83,Yi Syllables,A000-A48F,"    YiSyllables,"
,Yi Radicals,A490-A4CF,
84,Tagalog,1700-171F,"    Tagalog,"
,Hanunoo,1720-173F,
,Buhid,1740-175F,
,Tagbanwa,1760-177F,
85,Old Italic,10300-1032F,"    OldItalic,"
86,Gothic,10330-1034F,"    Gothic,"
87,Deseret,10400-1044F,"    Deseret,"
88,Byzantine Musical Symbols,1D000-1D0FF,"    MusicalSymbols,"
,Musical Symbols,1D100-1D1FF,
,Ancient Greek Musical Notation,1D200-1D24F,
89,Mathematical Alphanumeric Symbols,1D400-1D7FF,"    MathematicalAlphanumericSymbols,"
90,Private Use (plane 15),FF000-FFFFD,"    PrivateUsePlane15And16,"
,Private Use (plane 16),100000-10FFFD,
91,Variation Selectors,FE00-FE0F,"    VariationSelectors,"
,Variation Selectors Supplement,E0100-E01EF,
92,Tags,E0000-E007F,"    Tags,"
93,Limbu,1900-194F,"    Limbu,"
94,Tai Le,1950-197F,"    TaiLe,"
95,New Tai Lue,1980-19DF,"    NewTaiLue,"
96,Buginese,1A00-1A1F,"    Buginese,"
97,Glagolitic,2C00-2C5F,"    Glagolitic,"
98,Tifinagh,2D30-2D7F,"    Tifnagh,"
99,Yijing Hexagram Symbols,4DC0-4DFF,"    YijingHexagramSymbols,"
100,Syloti Nagri,A800-A82F,"    SylotiNagari,"
101,Linear B Syllabary,10000-1007F,"    LinearB,"
,Linear B Ideograms,10080-100FF,
,Aegean Numbers,10100-1013F,
102,Ancient Greek Numbers,10140-1018F,"    AncientGreekNumbers,"
103,Ugaritic,10380-1039F,"    Ugaritic,"
104,Old Persian,103A0-103DF,"    OldPersian,"
105,Shavian,10450-1047F,"    Shavian,"
106,Osmanya,10480-104AF,"    Osmanya,"
107,Cypriot Syllabary,10800-1083F,"    CypriotSyllabary,"
108,Kharoshthi,10A00-10A5F,"    Kharoshthi,"
109,Tai Xuan Jing Symbols,1D300-1D35F,"    TaiXuanJingSymbols,"
110,Cuneiform,12000-123FF,"    Cuneiform,"
,Cuneiform Numbers and Punctuation,12400-1247F,
111,Counting Rod Numerals,1D360-1D37F,"    CountingRodNumerals,"
112,Sundanese,1B80-1BBF,"    Sudanese,"
113,Lepcha,1C00-1C4F,"    Lepcha,"
114,Ol Chiki,1C50-1C7F,"    OlChiki,"
115,Saurashtra,A880-A8DF,"    Saurashtra,"
116,Kayah Li,A900-A92F,"    KayahLi,"
117,Rejang,A930-A95F,"    Rejang,"
118,Cham,AA00-AA5F,"    Charm,"
119,Ancient Symbols,10190-101CF,"    AncientSymbols,"
120,Phaistos Disc,101D0-101FF,"    PhaistosDisc,"
121,Carian,102A0-102DF,"    Carian,"
,Lycian,10280-1029F,
,Lydian,10920-1093F,
122,Domino Tiles,1F030-1F09F,"    DominoTiles,"
,Mahjong Tiles,1F000-1F02F,

